,0
311,CGI
312,Siteflow
313,WYZ Group
314,Groupe BPCE
315,Société Générale
316,Snark Factory
317,Worldline
318,Worldline
319,Enedis
320,Orange
321,Orange
322,Veolia
323,Société Générale
324,Everping
325,Opteven
326,Collectif Energie
327,Fortuneo
328,Crédit Mutuel Arkéa
329,Bedrock
330,Bedrock
331,Skilleos
332,Numberly
333,JCDecaux
334,Manutan
335,EDF
336,Ontex Digital Factory
337,Groupe Magnolia
338,EDF
339,Société Générale
340,Société Générale
341,Société Générale
342,Kyndryl
343,Call A Lawyer
344,Hager Group
345,Kipli
346,Orange
347,Groupe Magnolia
348,Raja
349,Cegid
350,Actual group
351,Atos
352,Groupe BPCE
353,Atos
354,CGI
355,Orange
356,Park’n Plug
357,Park’n Plug
358,Park’n Plug
359,CGI
360,FDJ - La Française des Jeux
361,Lacoste
362,Groupe BPCE
363,Capgemini
364,Capgemini
365,EasyMile
366,TastyCloud
367,CS GROUP
368,Arinfo I-Maginer
369,SERVIER
370,Sagemcom
371,Nodarius
372,Nodarius
373,Nodarius
374,Software Club
375,bioMérieux
376,Orange
377,Orange
378,Orange
379,Veolia
380,Oodrive
381,Orange
382,Orange
383,GARANCE
384,Orange
385,L'Oréal France
386,Konexio
387,Orange
388,Orange
389,CS GROUP
390,Groupe SeLoger
391,Nexter (company of KNDS)
392,Admo tv
393,Groupe TF1
394,Neovee
395,Capgemini
396,HSBC
397,NXO France
398,Société Générale
399,Société Générale
400,Société Générale
401,Société Générale
402,Société Générale
403,Decathlon
404,Groupe SeLoger
405,EPSILON France
406,Groupe BPCE
407,Groupe BPCE
408,Worldline
409,Niji
410,Nexter (company of KNDS)
411,Hub One
412,Dataleon
413,Orange
414,Stago
415,Hinfact
416,djob
417,djob
418,Compass Group France
419,C-Ways
420,Event Catalyst
421,Maincare
422,Groupe BPCE
423,Société Générale
424,Société Générale
425,Veolia
426,PONANT
427,Alegria.group
428,Alegria.group
429,Veolia
430,Micropole
431,Orange
432,Orange
433,Société Générale
434,Veolia
435,Veolia
436,VINCI Energies en France
437,Groupe BPCE
438,Groupe BPCE
439,Groupe BPCE
440,Natixis
441,Hub One
442,IGN
443,Beetween
444,Sopra Steria
445,VINCI Energies en France
446,HARTMANN France
447,Société Générale
448,HARTMANN France
449,Stych
450,Framatome
451,Maincare
452,Bouygues Telecom
453,Carrefour
454,Société Générale
455,Groupe BPCE
456,SOS Accessoire
457,Interstis
458,Interstis
459,CGI
460,Orange
461,Groupe BPCE
462,Natixis
463,GreenFlex
464,Sopra Steria
465,Pandacraft
466,Atexo
467,Worldline
468,Veolia
469,Mes Allocs
470,L'Oréal France
471,Free
472,Hub One
473,Société Générale Assurances
474,Beekast
475,Société Générale
476,"RTE, Le réseau de transport d'électricité"
477,JEDHA
478,JEDHA
479,JEDHA
480,BOURSORAMA
481,BOURSORAMA
482,Bouygues Telecom
483,Groupe BPCE
484,Veolia
485,"RTE, Le réseau de transport d'électricité"
486,Natixis
487,Société Générale
488,Stago
489,Groupe BPCE
490,Groupe Magnolia
491,Société Générale
492,Groupe TF1
493,Zento
494,Groupe BPCE
495,Nexter (company of KNDS)
496,Orange
497,Sopra Steria
498,Société Générale
499,Anamnèse
500,Orange
501,Veolia
502,AREP
503,Hub One
504,Natixis
505,La Sécurité Sociale
506,Skills4All
507,Sopra Steria
508,Worldline
509,Groupe BPCE
510,Sopra Steria
511,Natixis
512,SYMRISE
513,Groupe BPCE
514,Groupe BPCE
515,FI Group
516,Sopra Steria
517,Sofrilog
518,Natixis
519,Worldline
520,Uptale
521,Natixis
522,Nexter (company of KNDS)
523,Keyyo
524,Keyyo
525,Natixis
526,Lacoste
527,NXO France
528,Société Générale
529,Groupe BPCE
530,Groupe BPCE
531,BRED Banque Populaire
532,Orange
533,Orange
